,buying,maint,doors,persons,lug_boot,safety,class
0,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_small,safety_low,unacc
1,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_small,safety_med,unacc
2,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_small,safety_high,unacc
3,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_med,safety_low,unacc
4,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_med,safety_med,unacc
5,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_med,safety_high,unacc
6,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_big,safety_low,unacc
7,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_big,safety_med,unacc
8,buying_vhigh,maint_vhigh,doors_2,persons_2,lug_boot_big,safety_high,unacc
9,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_small,safety_low,unacc
10,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_small,safety_med,unacc
11,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_small,safety_high,unacc
12,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_med,safety_low,unacc
13,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_med,safety_med,unacc
14,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_med,safety_high,unacc
15,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_big,safety_low,unacc
16,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_big,safety_med,unacc
17,buying_vhigh,maint_vhigh,doors_2,persons_4,lug_boot_big,safety_high,unacc
18,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_small,safety_low,unacc
19,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_small,safety_med,unacc
20,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_small,safety_high,unacc
21,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_med,safety_low,unacc
22,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_med,safety_med,unacc
23,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_med,safety_high,unacc
24,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_big,safety_low,unacc
25,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_big,safety_med,unacc
26,buying_vhigh,maint_vhigh,doors_2,persons_more,lug_boot_big,safety_high,unacc
27,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_small,safety_low,unacc
28,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_small,safety_med,unacc
29,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_small,safety_high,unacc
30,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_med,safety_low,unacc
31,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_med,safety_med,unacc
32,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_med,safety_high,unacc
33,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_big,safety_low,unacc
34,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_big,safety_med,unacc
35,buying_vhigh,maint_vhigh,doors_3,persons_2,lug_boot_big,safety_high,unacc
36,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_small,safety_low,unacc
37,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_small,safety_med,unacc
38,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_small,safety_high,unacc
39,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_med,safety_low,unacc
40,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_med,safety_med,unacc
41,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_med,safety_high,unacc
42,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_big,safety_low,unacc
43,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_big,safety_med,unacc
44,buying_vhigh,maint_vhigh,doors_3,persons_4,lug_boot_big,safety_high,unacc
45,buying_vhigh,maint_vhigh,doors_3,persons_more,lug_boot_small,safety_low,unacc
46,buying_vhigh,maint_vhigh,doors_3,persons_more,lug_boot_small,safety_med,unacc
47,buying_vhigh,maint_vhigh,doors_3,persons_more,lug_boot_small,safety_high,unacc
